id,class_id
110000,1
120000,2
130100,3
130200,4
130300,5
130400,6
130500,7
130600,8
130700,9
130800,10
130900,11
131000,12
131100,13
140100,14
140200,15
140300,16
140400,17
140500,18
140600,19
140700,20
140800,21
140900,22
141000,23
141100,24
150100,25
150200,26
150300,27
150400,28
150500,29
150600,30
150700,31
150800,32
150900,33
152200,34
152500,35
152900,36
210100,37
210200,38
210300,39
210400,40
210500,41
210600,42
210700,43
210800,44
210900,45
211000,46
211100,47
211200,48
211300,49
211400,50
220100,51
220200,52
220300,53
220400,54
220500,55
220600,56
220700,57
220800,58
222400,59
230100,60
230200,61
230300,62
230400,63
230500,64
230600,65
230700,66
230800,67
230900,68
231000,69
231100,70
231200,71
232700,72
310000,73
320100,74
320200,75
320300,76
320400,77
320500,78
320600,79
320700,80
320800,81
320900,82
321000,83
321100,84
321200,85
321300,86
330100,87
330200,88
330300,89
330400,90
330500,91
330600,92
330700,93
330800,94
330900,95
331000,96
331100,97
340100,98
340200,99
340300,100
340400,101
340500,102
340600,103
340700,104
340800,105
341000,106
341100,107
341200,108
341300,109
341500,110
341600,111
341700,112
341800,113
350100,114
350200,115
350300,116
350400,117
350500,118
350600,119
350700,120
350800,121
350900,122
360100,123
360200,124
360300,125
360400,126
360500,127
360600,128
360700,129
360800,130
360900,131
361000,132
361100,133
370100,134
370200,135
370300,136
370400,137
370500,138
370600,139
370700,140
370800,141
370900,142
371000,143
371100,144
371200,145
371300,146
371400,147
371500,148
371600,149
371700,150
410100,151
410200,152
410300,153
410400,154
410500,155
410600,156
410700,157
410800,158
410900,159
411000,160
411100,161
411200,162
411300,163
411400,164
411500,165
411600,166
411700,167
419001,168
420100,169
420200,170
420300,171
420500,172
420600,173
420700,174
420800,175
420900,176
421000,177
421100,178
421200,179
421300,180
422800,181
429004,182
429005,183
429006,184
429021,185
430100,186
430200,187
430300,188
430400,189
430500,190
430600,191
430700,192
430800,193
430900,194
431000,195
431100,196
431200,197
431300,198
433100,199
440100,200
440200,201
440300,202
440400,203
440500,204
440600,205
440700,206
440800,207
440900,208
441200,209
441300,210
441400,211
441500,212
441600,213
441700,214
441800,215
441900,216
442000,217
445100,218
445200,219
445300,220
450100,221
450200,222
450300,223
450400,224
450500,225
450600,226
450700,227
450800,228
450900,229
451000,230
451100,231
451200,232
451300,233
451400,234
460100,235
460200,236
460400,237
469001,238
469002,239
469005,240
469006,241
469007,242
469021,243
469022,244
469023,245
469024,246
469025,247
469026,248
469027,249
469028,250
469029,251
469030,252
500000,253
510100,254
510300,255
510400,256
510500,257
510600,258
510700,259
510800,260
510900,261
511000,262
511100,263
511300,264
511400,265
511500,266
511600,267
511700,268
511800,269
511900,270
512000,271
513200,272
513300,273
513400,274
520100,275
520200,276
520300,277
520400,278
520500,279
520600,280
522300,281
522600,282
522700,283
530100,284
530300,285
530400,286
530500,287
530600,288
530700,289
530800,290
530900,291
532300,292
532500,293
532600,294
532800,295
532900,296
533100,297
533300,298
533400,299
540100,300
540200,301
540300,302
540400,303
542200,304
542400,305
542500,306
610100,307
610200,308
610300,309
610400,310
610500,311
610600,312
610700,313
610800,314
610900,315
611000,316
620100,317
620200,318
620300,319
620400,320
620500,321
620600,322
620700,323
620800,324
620900,325
621000,326
621100,327
621200,328
622900,329
623000,330
630100,331
630200,332
632200,333
632300,334
632500,335
632600,336
632700,337
632800,338
640100,339
640200,340
640300,341
640400,342
640500,343
650100,344
650200,345
650400,346
652200,347
652300,348
652700,349
652800,350
652900,351
653000,352
653100,353
653200,354
654000,355
654200,356
654300,357
659001,358
659002,359
659003,360
659004,361
659005,362
710000,363
810000,364