id,location,confirmed_before,cured_before,dead_before,confirmed,cured,dead,confirmed_after,cured_after,dead_after
110000,北京市,68,0,0,580,418,8,512,418,8
120000,天津市,14,0,0,174,135,3,160,135,3
130100,石家庄市,7,0,0,29,29,0,22,29,0
130200,唐山市,0,0,0,58,55,1,0,0,0
130300,秦皇岛市,0,0,0,10,9,1,0,0,0
130400,邯郸市,2,0,0,32,32,0,30,32,0
130500,邢台市,1,0,0,23,22,1,22,22,1
130600,保定市,3,0,0,32,32,0,29,32,0
130700,张家口市,0,0,0,41,41,0,0,0,0
130800,承德市,1,0,0,7,7,0,6,7,0
130900,沧州市,2,0,1,48,45,3,46,45,2
131000,廊坊市,2,0,0,30,30,0,28,30,0
131100,衡水市,0,0,0,8,8,0,8,8,0
140100,太原市,2,0,0,20,20,0,18,20,0
140200,大同市,1,0,0,12,12,0,11,12,0
140300,阳泉市,1,0,0,4,4,0,3,4,0
140400,长治市,1,0,0,8,8,0,7,8,0
140500,晋城市,0,0,0,10,10,0,0,0,0
140600,朔州市,2,0,0,8,8,0,6,8,0
140700,晋中市,2,0,0,37,37,0,35,37,0
140800,运城市,2,0,0,19,19,0,17,19,0
140900,忻州市,0,0,0,7,7,0,0,0,0
141000,临汾市,1,0,0,2,2,0,1,2,0
141100,吕梁市,1,0,0,6,6,0,5,6,0
150100,呼和浩特市,0,0,0,7,7,0,0,0,0
150200,包头市,2,0,0,11,11,0,9,11,0
150300,乌海市,0,0,0,2,2,0,0,0,0
150400,赤峰市,1,0,0,9,9,0,8,9,0
150500,通辽市,1,0,0,7,7,0,6,7,0
150600,鄂尔多斯市,2,0,0,11,11,0,9,11,0
150700,呼伦贝尔市,2,0,0,7,7,0,5,7,0
150800,巴彦淖尔市,0,0,0,8,7,1,0,0,0
150900,乌兰察布市,0,0,0,3,3,0,0,0,0
152200,兴安盟,1,0,0,1,1,0,0,1,0
152500,锡林郭勒盟,2,0,0,9,9,0,7,9,0
152900,阿拉善盟,0,0,0,0,0,0,0,0,0
210100,沈阳市,6,0,0,28,28,0,22,28,0
210200,大连市,4,0,0,19,19,0,15,19,0
210300,鞍山市,0,0,0,4,4,0,0,0,0
210400,抚顺市,0,0,0,0,0,0,0,0,0
210500,本溪市,2,0,0,3,3,0,1,3,0
210600,丹东市,1,0,0,11,11,0,10,11,0
210700,锦州市,0,0,0,12,12,0,0,0,0
210800,营口市,1,0,0,1,1,0,0,1,0
210900,阜新市,0,0,0,8,8,0,0,0,0
211000,辽阳市,0,0,0,3,3,0,0,0,0
211100,盘锦市,2,0,0,11,11,0,9,11,0
211200,铁岭市,2,0,0,7,7,0,5,7,0
211300,朝阳市,2,0,0,6,5,1,4,5,1
211400,葫芦岛市,2,0,0,12,11,1,10,11,1
220100,长春市,1,0,0,45,45,0,44,45,0
220200,吉林市,2,0,0,5,5,0,3,5,0
220300,四平市,1,0,0,15,14,1,14,14,1
220400,辽源市,0,0,0,7,7,0,0,0,0
220500,通化市,0,0,0,6,6,0,0,0,0
220600,白山市,0,0,0,0,0,0,0,0,0
220700,松原市,2,0,0,2,2,0,0,2,0
220800,白城市,0,0,0,1,1,0,0,0,0
222400,延边朝鲜族自治州,0,0,0,5,5,0,0,0,0
230100,哈尔滨市,8,0,0,198,194,4,190,194,4
230200,齐齐哈尔市,1,0,0,43,42,1,42,42,1
230300,鸡西市,0,0,0,46,46,0,0,0,0
230400,鹤岗市,0,0,0,5,5,0,0,0,0
230500,双鸭山市,1,0,0,52,49,3,51,49,3
230600,大庆市,5,0,0,26,25,1,21,25,1
230700,伊春市,0,0,0,1,1,0,0,0,0
230800,佳木斯市,1,0,0,15,15,0,14,15,0
230900,七台河市,1,0,0,17,17,0,16,17,0
231000,牡丹江市,1,0,0,15,15,0,14,15,0
231100,黑河市,0,0,0,14,14,0,0,0,0
231200,绥化市,3,0,1,47,43,4,44,43,3
232700,大兴安岭地区,0,0,0,3,3,0,0,0,0
310000,上海市,53,1,1,516,341,6,463,340,5
320100,南京市,7,0,0,93,93,0,86,93,0
320200,无锡市,4,0,0,55,55,0,51,55,0
320300,徐州市,3,0,0,79,79,0,76,79,0
320400,常州市,6,0,0,51,51,0,45,51,0
320500,苏州市,8,1,0,87,87,0,79,86,0
320600,南通市,4,0,0,40,40,0,36,40,0
320700,连云港市,3,0,0,48,48,0,45,48,0
320800,淮安市,2,0,0,66,66,0,64,66,0
320900,盐城市,1,0,0,27,27,0,26,27,0
321000,扬州市,4,0,0,23,23,0,19,23,0
321100,镇江市,2,0,0,12,12,0,10,12,0
321200,泰州市,2,0,0,37,37,0,35,37,0
321300,宿迁市,1,0,0,13,13,0,12,13,0
330100,杭州市,27,0,0,181,181,0,154,181,0
330200,宁波市,13,0,0,157,157,0,144,157,0
330300,温州市,32,1,0,504,503,1,472,502,1
330400,嘉兴市,8,0,0,46,45,0,38,45,0
330500,湖州市,3,0,0,10,10,0,7,10,0
330600,绍兴市,6,0,0,42,42,0,36,42,0
330700,金华市,5,0,0,55,55,0,50,55,0
330800,衢州市,5,0,0,14,14,0,9,14,0
330900,舟山市,4,0,0,10,10,0,6,10,0
331000,台州市,22,0,0,146,146,0,124,146,0
331100,丽水市,3,0,0,17,17,0,14,17,0
340100,合肥市,13,0,0,174,173,1,161,173,1
340200,芜湖市,6,0,0,34,34,0,28,34,0
340300,蚌埠市,3,0,0,160,155,5,157,155,5
340400,淮南市,2,0,0,27,27,0,25,27,0
340500,马鞍山市,7,0,0,38,38,0,31,38,0
340600,淮北市,1,0,0,27,27,0,26,27,0
340700,铜陵市,3,0,0,29,29,0,26,29,0
340800,安庆市,8,0,0,83,83,0,75,83,0
341000,黄山市,1,0,0,9,9,0,8,9,0
341100,滁州市,2,0,0,13,13,0,11,13,0
341200,阜阳市,10,0,0,155,155,0,145,155,0
341300,宿州市,3,0,0,41,41,0,38,41,0
341500,六安市,3,0,0,69,69,0,66,69,0
341600,亳州市,6,0,0,108,108,0,102,108,0
341700,池州市,1,0,0,17,17,0,16,17,0
341800,宣城市,1,0,0,6,6,0,5,6,0
350100,福州市,13,0,0,72,71,1,59,71,1
350200,厦门市,4,0,0,35,35,0,31,35,0
350300,莆田市,1,0,0,56,56,0,55,56,0
350400,三明市,4,0,0,14,14,0,10,14,0
350500,泉州市,5,0,0,47,47,0,42,47,0
350600,漳州市,4,0,0,20,20,0,16,20,0
350700,南平市,1,0,0,20,20,0,19,20,0
350800,龙岩市,0,0,0,6,6,0,6,6,0
350900,宁德市,3,0,0,26,26,0,23,26,0
360100,南昌市,8,0,0,230,230,0,222,230,0
360200,景德镇市,2,0,0,6,6,0,4,6,0
360300,萍乡市,2,0,0,33,33,0,31,33,0
360400,九江市,4,0,0,118,118,0,114,118,0
360500,新余市,3,0,0,130,130,0,127,130,0
360600,鹰潭市,0,0,0,18,18,0,0,0,0
360700,赣州市,7,0,0,76,75,1,69,75,1
360800,吉安市,3,0,0,22,22,0,19,22,0
360900,宜春市,6,0,0,106,106,0,100,106,0
361000,抚州市,7,0,0,72,72,0,65,72,0
361100,上饶市,6,0,0,123,123,0,117,123,0
370100,济南市,7,0,0,47,47,0,40,47,0
370200,青岛市,10,0,0,61,60,1,51,60,1
370300,淄博市,2,0,0,30,29,1,28,29,1
370400,枣庄市,0,0,0,24,24,0,24,24,0
370500,东营市,0,0,0,0,0,0,0,0,0
370600,烟台市,4,0,0,47,47,0,43,47,0
370700,潍坊市,3,0,0,44,44,0,41,44,0
370800,济宁市,5,0,0,260,260,0,255,260,0
370900,泰安市,0,0,0,35,33,2,35,33,2
371000,威海市,7,0,0,38,37,1,31,37,1
371100,日照市,5,0,0,16,16,0,11,16,0
371200,莱芜市,0,0,0,0,0,0,0,0,0
371300,临沂市,7,0,0,49,49,0,42,49,0
371400,德州市,6,0,0,37,35,2,31,35,2
371500,聊城市,1,0,0,38,38,0,37,38,0
371600,滨州市,3,0,0,15,15,0,12,15,0
371700,菏泽市,3,0,0,18,18,0,15,18,0
410100,郑州市,29,0,0,157,152,5,128,152,5
410200,开封市,1,0,0,26,26,0,25,26,0
410300,洛阳市,2,0,0,31,30,1,29,30,1
410400,平顶山市,5,0,0,58,57,1,53,57,1
410500,安阳市,7,0,0,53,53,0,46,53,0
410600,鹤壁市,2,0,0,19,19,0,17,19,0
410700,新乡市,4,0,0,57,54,3,53,54,3
410800,焦作市,0,0,0,32,31,1,0,0,0
410900,濮阳市,0,0,0,17,17,0,0,0,0
411000,许昌市,1,0,0,39,38,1,38,38,1
411100,漯河市,6,0,0,36,35,0,30,35,0
411200,三门峡市,3,0,0,7,6,1,4,6,1
411300,南阳市,19,0,1,156,153,3,137,153,2
411400,商丘市,6,0,0,91,88,3,85,88,3
411500,信阳市,23,0,0,274,272,2,251,272,2
411600,周口市,11,0,0,76,75,1,65,75,1
411700,驻马店市,9,0,0,139,139,0,130,139,0
420100,武汉市,698,42,63,50006,46002,2548,49308,45960,2485
420200,黄石市,36,0,1,1015,976,39,979,976,38
420300,十堰市,40,0,0,672,664,8,632,664,8
420500,宜昌市,31,0,1,931,894,36,900,894,35
420600,襄阳市,36,0,0,1175,1135,39,1139,1135,39
420700,鄂州市,20,0,0,1394,1335,59,1374,1335,59
420800,荆门市,90,0,3,928,887,40,838,887,37
420900,孝感市,100,0,1,3518,3389,128,3418,3389,127
421000,荆州市,47,0,2,1580,1528,52,1533,1528,50
421100,黄冈市,154,2,4,2907,2782,125,2753,2780,121
421200,咸宁市,64,0,0,836,821,15,772,821,15
421300,随州市,52,0,0,1307,1262,45,1255,1262,45
422800,恩施土家族苗族自治州,25,0,0,252,245,7,227,245,7
430100,长沙市,22,0,0,242,240,2,220,240,2
430200,株洲市,5,0,0,80,80,0,75,80,0
430300,湘潭市,4,0,0,36,36,0,32,36,0
430400,衡阳市,4,0,0,48,48,0,44,48,0
430500,邵阳市,8,0,0,102,101,1,94,101,1
430600,岳阳市,7,0,0,156,155,1,149,155,1
430700,常德市,12,0,0,82,82,0,70,82,0
430800,张家界市,0,0,0,5,5,0,0,0,0
430900,益阳市,7,0,0,60,60,0,53,60,0
431000,郴州市,6,0,0,39,39,0,33,39,0
431100,永州市,4,0,0,44,44,0,40,44,0
431200,怀化市,11,0,0,40,40,0,29,40,0
431300,娄底市,7,0,0,76,76,0,69,76,0
433100,湘西土家族苗族自治州,3,0,0,8,8,0,5,8,0
440100,广州市,39,0,0,435,349,1,396,349,1
440200,韶关市,4,0,0,10,9,1,6,9,1
440300,深圳市,36,2,0,450,416,3,414,414,3
440400,珠海市,12,0,0,103,97,1,91,97,1
440500,汕头市,2,0,0,25,25,0,23,25,0
440600,佛山市,14,0,0,93,84,0,79,84,0
440700,江门市,0,0,0,23,23,0,0,0,0
440800,湛江市,5,0,0,24,22,0,19,22,0
440900,茂名市,0,0,0,14,14,0,0,0,0
441200,肇庆市,4,0,0,20,18,1,16,18,1
441300,惠州市,8,0,0,62,62,0,54,62,0
441400,梅州市,1,0,0,17,16,0,16,16,0
441500,汕尾市,1,0,0,5,5,0,4,5,0
441600,河源市,0,0,0,4,4,0,0,0,0
441700,阳江市,8,0,0,14,14,0,6,14,0
441800,清远市,3,0,0,12,12,0,9,12,0
441900,东莞市,2,0,0,100,99,1,98,99,1
442000,中山市,4,0,0,68,68,0,64,68,0
445100,潮州市,0,0,0,6,5,0,0,0,0
445200,揭阳市,3,0,0,9,8,0,6,8,0
445300,云浮市,0,0,0,0,0,0,0,0,0
450100,南宁市,5,0,0,55,55,0,50,55,0
450200,柳州市,6,0,0,24,24,0,18,24,0
450300,桂林市,14,0,0,32,32,0,18,32,0
450400,梧州市,2,0,0,5,5,0,3,5,0
450500,北海市,9,0,0,44,43,1,35,43,1
450600,防城港市,3,0,0,19,19,0,16,19,0
450700,钦州市,0,0,0,8,8,0,0,0,0
450800,贵港市,0,0,0,8,8,0,0,0,0
450900,玉林市,2,0,0,11,11,0,9,11,0
451000,百色市,2,0,0,3,3,0,1,3,0
451100,贺州市,0,0,0,4,4,0,0,0,0
451200,河池市,3,0,0,28,27,1,25,27,1
451300,来宾市,0,0,0,11,11,0,0,0,0
451400,崇左市,0,0,0,0,0,0,0,0,0
460100,海口市,6,0,0,39,39,0,33,39,0
460200,三亚市,10,0,0,54,53,1,44,53,1
460300,三沙市,0,0,0,0,0,0,0,0,0
460400,儋州市,4,0,0,15,14,1,11,14,1
500000,重庆市,110,0,0,579,570,6,469,570,6
510100,成都市,33,0,0,155,141,3,122,141,3
510300,自贡市,2,0,0,9,9,0,7,9,0
510400,攀枝花市,0,0,0,16,16,0,0,0,0
510500,泸州市,3,0,0,24,24,0,21,24,0
510600,德阳市,1,0,0,18,18,0,17,18,0
510700,绵阳市,7,0,0,22,22,0,15,22,0
510800,广元市,0,0,0,6,6,0,0,0,0
510900,遂宁市,2,0,0,17,17,0,15,17,0
511000,内江市,1,0,0,22,22,0,21,22,0
511100,乐山市,1,0,0,3,3,0,2,3,0
511300,南充市,2,0,0,39,39,0,37,39,0
511400,眉山市,1,0,0,8,8,0,7,8,0
511500,宜宾市,1,0,0,12,12,0,11,12,0
511600,广安市,6,0,0,30,30,0,24,30,0
511700,达州市,3,0,0,42,42,0,39,42,0
511800,雅安市,1,0,0,7,7,0,6,7,0
511900,巴中市,0,0,0,24,24,0,0,0,0
512000,资阳市,2,0,0,4,4,0,2,4,0
513200,阿坝藏族羌族自治州,0,0,0,1,1,0,0,0,0
513300,甘孜藏族自治州,2,0,0,78,78,0,76,78,0
513400,凉山彝族自治州,1,0,0,13,13,0,12,13,0
520100,贵阳市,1,0,0,36,35,1,35,35,1
520200,六盘水市,1,0,0,10,9,1,9,9,1
520300,遵义市,0,0,0,32,32,0,0,0,0
520400,安顺市,0,0,0,4,4,0,0,0,0
520500,毕节市,0,0,0,23,23,0,0,0,0
520600,铜仁市,2,0,0,10,10,0,8,10,0
522300,黔西南布依族苗族自治州,1,0,0,4,4,0,3,4,0
522600,黔东南苗族侗族自治州,0,0,0,10,10,0,0,0,0
522700,黔南布依族苗族自治州,2,0,0,17,17,0,15,17,0
530100,昆明市,7,0,0,53,53,0,46,53,0
530300,曲靖市,1,0,0,13,13,0,12,13,0
530400,玉溪市,1,0,0,14,13,1,13,13,1
530500,保山市,2,0,0,9,9,0,7,9,0
530600,昭通市,1,0,0,25,25,0,24,25,0
530700,丽江市,2,0,0,7,7,0,5,7,0
530800,普洱市,0,0,0,4,4,0,0,0,0
530900,临沧市,0,0,0,1,1,0,0,0,0
532300,楚雄彝族自治州,0,0,0,4,4,0,0,0,0
532500,红河哈尼族彝族自治州,1,0,0,9,9,0,8,9,0
532600,文山壮族苗族自治州,0,0,0,2,2,0,0,0,0
532800,西双版纳傣族自治州,1,0,0,15,14,1,14,14,1
532900,大理白族自治州,1,0,0,13,13,0,12,13,0
533100,德宏傣族景颇族自治州,2,0,0,5,5,0,3,5,0
533300,怒江傈僳族自治州,0,0,0,0,0,0,0,0,0
533400,迪庆藏族自治州,0,0,0,0,0,0,0,0,0
540100,拉萨市,0,0,0,1,1,0,0,0,0
540200,日喀则市,0,0,0,0,0,0,0,0,0
540300,昌都市,0,0,0,0,0,0,0,0,0
540400,林芝市,0,0,0,0,0,0,0,0,0
542200,山南市,0,0,0,0,0,0,0,0,0
542400,那曲市,0,0,0,0,0,0,0,0,0
542500,阿里地区,0,0,0,0,0,0,0,0,0
610100,西安市,12,0,0,120,117,3,108,117,3
610200,铜川市,5,0,0,8,8,0,3,8,0
610300,宝鸡市,0,0,0,13,13,0,0,0,0
610400,咸阳市,4,0,0,17,17,0,13,17,0
610500,渭南市,1,0,0,15,15,0,14,15,0
610600,延安市,2,0,0,8,8,0,6,8,0
610700,汉中市,3,0,0,26,26,0,23,26,0
610800,榆林市,0,0,0,3,3,0,0,0,0
610900,安康市,7,0,0,26,26,0,19,26,0
611000,商洛市,1,0,0,7,7,0,6,7,0
620100,兰州市,8,0,0,37,34,2,29,34,2
620200,嘉峪关市,0,0,0,0,0,0,0,0,0
620300,金昌市,0,0,0,1,1,0,0,0,0
620400,白银市,1,0,0,4,4,0,3,4,0
620500,天水市,0,0,0,12,12,0,0,0,0
620600,武威市,0,0,0,0,0,0,0,0,0
620700,张掖市,1,0,0,2,2,0,1,2,0
620800,平凉市,0,0,0,9,9,0,0,0,0
620900,酒泉市,0,0,0,0,0,0,0,0,0
621000,庆阳市,0,0,0,3,3,0,0,0,0
621100,定西市,1,0,0,9,9,0,8,9,0
621200,陇南市,1,0,0,4,4,0,3,4,0
622900,临夏回族自治州,2,0,0,3,3,0,1,3,0
623000,甘南藏族自治州,0,0,0,8,8,0,0,0,0
630100,西宁市,4,0,0,15,15,0,11,15,0
630200,海东市,0,0,0,0,0,0,0,0,0
632200,海北藏族自治州,0,0,0,3,3,0,0,0,0
632300,黄南藏族自治州,0,0,0,0,0,0,0,0,0
632500,海南藏族自治州,0,0,0,0,0,0,0,0,0
632600,果洛藏族自治州,0,0,0,0,0,0,0,0,0
632700,玉树藏族自治州,0,0,0,0,0,0,0,0,0
632800,海西蒙古族藏族自治州,0,0,0,0,0,0,0,0,0
640100,银川市,5,0,0,36,36,0,31,36,0
640200,石嘴山市,0,0,0,1,1,0,0,0,0
640300,吴忠市,0,0,0,28,28,0,0,0,0
640400,固原市,1,0,0,5,5,0,4,5,0
640500,中卫市,1,0,0,4,4,0,3,4,0
650100,乌鲁木齐市,4,0,0,23,23,0,19,23,0
650200,克拉玛依市,0,0,0,0,0,0,0,0,0
650400,吐鲁番市,0,0,0,3,3,0,0,0,0
652200,哈密市,0,0,0,0,0,0,0,0,0
652300,昌吉回族自治州,0,0,0,4,4,0,0,0,0
652700,博尔塔拉蒙古自治州,0,0,0,0,0,0,0,0,0
652800,巴音郭楞蒙古自治州,0,0,0,3,3,0,0,0,0
652900,阿克苏地区,0,0,0,1,1,0,0,0,0
653000,克孜勒苏柯尔克孜自治州,0,0,0,0,0,0,0,0,0
653100,喀什地区,0,0,0,0,0,0,0,0,0
653200,和田地区,0,0,0,0,0,0,0,0,0
654000,伊犁哈萨克自治州,1,0,0,18,18,0,17,18,0
654200,塔城地区,0,0,0,0,0,0,0,0,0
654300,阿勒泰地区,0,0,0,0,0,0,0,0,0
710000,台湾省,0,0,0,306,39,5,0,0,0
810000,香港特别行政区,0,0,0,714,128,4,0,0,0
820000,澳门特别行政区,0,0,0,41,10,0,0,0,0
419001,济源市,0,0,0,5,5,0,0,0,0
429004,仙桃市,12,0,0,575,552,22,563,552,22
429005,潜江市,5,0,1,198,189,9,193,189,8
429006,天门市,13,0,0,496,481,15,483,481,15
429021,神农架林区,0,0,0,11,11,0,0,0,0
469001,五指山市,0,0,0,0,0,0,0,0,0
469002,琼海市,0,0,0,6,5,1,0,0,0
469005,文昌市,0,0,0,3,3,0,0,0,0
469006,万宁市,7,0,0,13,13,0,6,13,0
469007,东方市,0,0,0,3,2,1,0,0,0
469021,定安县,0,0,0,3,2,1,0,0,0
469022,屯昌县,0,0,0,0,0,0,0,0,0
469023,澄迈县,2,0,0,9,8,1,7,8,1
469024,临高县,1,0,0,6,6,0,5,6,0
469025,白沙黎族自治县,0,0,0,0,0,0,0,0,0
469026,昌江黎族自治县,0,0,0,7,7,0,0,0,0
469027,乐东黎族自治县,0,0,0,2,2,0,0,0,0
469028,陵水黎族自治县,1,0,0,4,4,0,3,4,0
469029,保亭黎族苗族自治县,0,0,0,3,3,0,0,0,0
469030,琼中黎族苗族自治县,0,0,0,1,1,0,0,0,0
659001,石河子市,0,0,0,4,3,1,0,0,0
659002,阿拉尔市,0,0,0,0,0,0,0,0,0
659003,图木舒克市,0,0,0,0,0,0,0,0,0
659004,五家渠市,0,0,0,2,2,0,0,0,0
659005,北屯市,0,0,0,0,0,0,0,0,0
659006,铁门关市,0,0,0,0,0,0,0,0,0
659007,双河市,0,0,0,0,0,0,0,0,0
659008,可克达拉市,0,0,0,0,0,0,0,0,0
